SandyRocks| Abe Ganje tera Tharakpan teri aakho se jhalak raha hai kutte!!!!!!
shashidhar G| Such a stupid person he is ..... dislike because of that man ....
Rohit Agrawal| Please some one slap this guy 🙏 i really want her daughter to be interviewed in such a way and face all those rubbish questions!!
zayn malik| ahhh Indian journalist.....shit as always ...who else think that tooooo....
raju venkat| She learnt me how to sustain the smile even the person is irritating at peaks.
Ashutosh Kumar| Is chutiye ko sahi dhoya Suny ne apne biopic mein
Mandakini Kalia| Sunny was so graceful..
Aradhy Shukla| More Respect to Sunny...
renuka sagar| you go girllllll .. stay strong!!
Mathmatics By Navneet Saharn| ghtiya aadmi sala bc ,apni mother se bhi puchna unka past ,sunny is a nice lady
Rucha Kolhapure| Let me tell u Mr, 99%here are sunny Leone's viewers, not of your hypocrisy
Priyasmita Lodh| Sunny was so cool with the dumb questions.... Hats off to u for ur patience ❤️
Bannerxx Jan| The main motive was to makes you embarrass to Sunny LeoneWho is this bloody guy
Bannerxx Jan| I can see Tears in Eyes
Nutok Darang| sunny is such a courageous person I respect u sunny after seeing this interview
Aayushi Gupta| Kaha hai ye Chaubey 😠
Roopesha Loonker| She is such a boss lady and the reporter is disgusting
Swati Kumari| Interviewer as a person is the worst person I have ever seen.How can he be so rude. Hats off to Sunny for tolerating such ass.
P. J. Aniruddha| She must have cried after this interview at home.....He is so ruthless with her.....She was trying hard to control her tears that were about to come out......
anshu kumar| what a amazing reply to every single question.. sunny 😘
Aditya Singh| Chutiya Sala
Rahul Chakraborty| What a pathetic interviewer. I really want to punch this asshole.
Raj Kumar| How can someone be so sweet with such an interviewer, even I would have had stepped out of the interview.
john smith| He deserves to be raped by eunuchs. Such a motherfucker
avishek sinha| This man is really really bad.He doesn't know the manners.He doesn't know how to talk with a girl.Sunny is really a really really good person. #RespectForSunnyForEver
Payal Solanki| This stupid journalist has so much problem of sunny being the most googled person....like come on log sunny ko google nai karege to kya teko karege idiot!!!
bebo _0121| wait.."Indian married wives look at sunny leone as a threat?" how is this baldie even a journalist? if she is the most googled celebrity,that shows people's mindsets... she hasnt asked them to google her. she should have fucking slapped him. and he is feeling morally corrupt interviewing her,son of a bitch might have fapped to her videos several times.
MAHI MAHIYA| Bhupendra kindly see a doctor who shall treat your sickness
Rosy Arambam| Idiot kahika
Pankaj Dhiman| Reporter represents a kind of corrupt mentality in our society . And such people can be harmful to our society.
THIS IS HARPREET SEEHRA| Respect her....
Larihun Rangdkhiew| This journalist is suck man....  Sunny ur cool nd cute
Sandeep Kaur| Why he is insulting her!!!! Bloody despo !!!!!!he should have some manners,whether she was a porn star ,he got no rights to  drag or insult her like this!!!! Have some manners to talk to a lady!!!!!
SRUTHI PRATHAP| M surprised how much non sense she takes with cool attitude...wat does he expect ? That she tells him she is  ashamed of her  work ! Wat creeps
Namrata2907| This bhupendra or whoever he is calls himself a journalist.. Seriously.. He clearly has an intention of demeaning sunny right from the beginning it's pre conceived.. It's a shame!!!  Respect ## sunny  and shame ## bhupendra
Priyanka singh| boss lady..😘
Neil Fernandes| Asshole just stop interviewing ppl
Sanjana Mani| Omg.. this fucking interviewer is damn annoying..I am wondering why sunny didn't slap him .....😡😡😡😡😡😡😡😡😡
deewani samiya| Here After The Web Series "Karenjit Kaur"!🙋‍♀️
Karan Khandelwal| Its rude man........ i never watch this tv channel again
Aayush Dubey| Misogyny bhari padi hai takle ke andar...And why would sunny even tolerate this bald piece of shit, she deserves all the respect for being tolerant..also, being a porn star won't make her less of a woman..And I hope that CNN would never be this ignorant with their choice of journalists..
titly bhattacharjeeL| Such a mother fucker he is .i can clearly see lust on his eyes for sunny.She is so well spoken ❤️
Fatima noor| He is son of bitch
Harry Sekhon| Fuddu reporter!! Think Sunny as ur daughter u rat shit and watch this again!!!
Badar Ch| Interview man tere maa ko lun
Jasleena Moses| What a stupid questions u r asking ...i think its not questions asked in social media ..its your own bloody question ...respect her as a women ..y the hell u guys invited her if u want to hurt her with all stupid nd foolish questions...past is past ..every one do mistakes ..she knows wat she have done so you dont have to ask  all the question..She is gud at heart ..bold nd smart girl..
ami t| Begrudging respect🔥🔥🔥
Hamza Gohar| I love sunny leone not becoz of her past but the way she is so determined and with bold face she is answering that dickhead. Who is trying to degrade her.she didn't hesitate at any point that what i call confidence
Abhishek Anand| Who came here after watching "Karenjit Kaur - Untold Story of Sunny Leone" ?
Zara Tariq| Shame on this journalist
Pratibha Chauhan| You are a pig Mr interviewer.. You are truly beauty with brain. Such a positive and graceful lady. I love you.
Simranjeet Singh| Ihdi bund padd da jehra interview le reha
Kartikay Thakkar| My respect for you increased after watching your biopic and this interview.. speechless about the replies you gave him..
