Utpal Gogoi| Dumbass interviewer, fuck you.
Utpal Gogoi| Joker interviewer, saaley chutiye.
Utpal Gogoi| Fuck you, interviewer. Why go on trying to extract regret from her interview?
aashitha menon| sunny salute to you dear. I really wish to slap that motherfucker
Jason Cortez| She is so cute..
Bandhan Jha| Just wondering why Sunny didn't slap him
Prashant Rajput| His questions is really a "live  shot " but her patience is really melting a stone.hats off
INAMULMANAN  WANI| Every Son of Adam is a Sinner and the Best of Sinners are those who Repent.There is no limit to Allah's forgiveness and mercy. It's immensely vast and infinite.May (Allah) God guide you to the right path
ankur pathak| She is such a lovely lady❤❤❤❤ hope this kind of questions stops and she doesn't have to face such questions!!! Move on everyone
Ayush Bhat| Sunny..💕
Sagar Basnet| I think sunny is more matured than the journalist
Manish Sudershan| CNN is so shit! I hoe they fire this bloody Chaubey!
Sameer Atkale| She isawesome..supercool...sweet and simple...lovely person
jese297| Lol that baldfuccck interviewer represents the stereotypical shiiitstained locality uncle everyone has who has nothing else to do but grump n frown at the younger generation cuz all he has now is more wrinkles less hair and impotency...jealous much, I bet..typical indian stereotype.
Mr Backer| Cool leaone. lluv u
malko2010| Perfect answers
Trytobefair historybuff| Sunny Leone isn't just Indian or North American. She is polycultural and shows the way the world should go. She is a very sophisticated woman and more so than this interviewer. You can't understand Sunny Leone if you think just Indian or American. You need to understand the fusion of cultures. She's international.
Pria Chaurasia| Mother fucker ... I absolutely live her confidence and belief in herself
Prem.G .Gaikwad| This only shows how women are mentally strong ,RESPECT!!!!My respect has grown tremendously for Karanjit Kaur.
Sanket Gaikwad| @sunnyleone you are as bright as shining star. This interview shows the real courage of an individual and independent thoughts can change the world.
Tony| He should wash her feet and drink it. Such a hollow man and he is doing the interview with some pre-set notions about her. Sunny has such a wonderful personality.
Rejeesh Mathew| I didn't know what kind of research did he do? Just watched all her porn productions and put on his "sankari" coat and went out to interview her?As the interview progresses the interviewer realizes that he cant get any bite-worthy quirky or controversial responses from Sunny Leone. This dude can't handle the fact that Sunny Leone is logical, matured, real and way cooler! He seemed to be premeditated and unprepared. The dude just sweat blood from his expansive forehead. Shameful!
toomuchfun okbye| abe ja na bhadwetakle kahike
pawan sonar| What an ass hole  a same to journalism sunny you are the coolest respect
Master| Bhupendra looks like human pig hybrid. Asshole
Vijith Bala| Not just hot sexy and beautiful, such a brave lady... Supercool.
Monish Mondal| Var ma ja Tara channel
Monish Mondal| Ki vanish nigika media bola ja i6a tai korbi
Reshma ravindhran| If I see tat interviewer anywhere.. I would ask him questions so tat he will shut his mouth forever.. person like him spoils ppl.. it's not her...
Reshma ravindhran| He is such a bastard.. who does not respect human being.. u balled head bastard just go die some where..
sahil kumar| This reporter is really idiot
Lana R| I wanna punch him so bad :ughh:
khan khan| 1 thing i liked abt her that shez so straight  forwad
HARSHI SHINGHARI| He is shit....she is social worker
Indian guys Are bitches| If this is how educated men deal with a woman imagine what would happen to a cussed out woman in a small town or village in India.... all these Indian men behave like they have never bought what she  sold... yea right!!
karan raipur| Teri ma da posda takley
Nikunj Gupta| I am in love with her,not for looks but for her words this time!So smart 👏👏
Lawrence Xavier| If Bhupendra is so curious about sunny's past of being a porn star ,then he should try it out and question himself with all the questions he asked to poor sunny.
Siksha Das| Something is terribly wrong with this man😡WTF questions he was even asking? I think his really messed up in his head & do not have any respect for any women or even human. Shame on him.
Anannya Prakash| No man has ever disgusted me as much as this ugly, bald fuck. Neither has a Bollywood actress ever earned as much of my respect in an interview as has Sunny Leone.
Hamyle Rizwan| This man is pure and fresh shit !! What so ever she does she deserves all respect as a human being and women not her profession and personal decisions
Jay Mehta| First four minutes I would have killed the reporter bhupendra bc
Jay Mehta| Sala madarchod reporter sunny we love you !!!!!!
BOLLYWOOD| Sunny i respect you as an individual and as a Bollywood Star! Ur past means nothing.
BOLLYWOOD| For get about her past, look what she can contribute to her profession. Everybody makes a rash decision when young and later when they realize its not worth and wants to turn a new leaf the world should come and support that individual.
Nishad Yadav| Such a graceful person she ..is ....soo beutifulllly..she handled this allll nonsense...this pretty lady is not corrupting....minds of young women...but teaching...how to stand if u fall...really nice n talented  person......
Deepesh Khaneja| Latest Update: She already did a glamorous song 'Laila O Laila' with A-lister SRK in Raees. Slammed badly on this arrogant and misogynist interviewer, and her haters. Hit Like if you love her more now.
Armannoor Singh Bhullar| I feel sorry shitpots like Chaubey exist! More so they get hired to interview such amazing people. She is far more cultured and decent than you are. Power to you gal!
Ayela Waseer| What a patronizing fucktard.
Dani A| You’re a disgusting sexist pig and she remains unbothered
amal 007| Fuck off u bloody asshole interviewer
Randøm Talkìês| Takle insaan hr kisiki respect krni chahiye
lonal masery| Arhe reporter sunny leone ko dekhar uskha dil behra hoga 💏💏
Sudhakar Singh| I loved your answer "100%" an intimidate courageous genuine answer.Love the way you unfold the truth about you ineffectively...
Arnold Davis| I'd bang that
Renu Baluni| Nasty interview..Interviewer has only point to discuss..Its boring and fuuusshh!!
20pcangel80pcdevil| He just keeps cutting her in whatever she speaks! if you are bhupendra the interviewer  and reading this - you’re an asshole
Siddharth Pawar| 17:40 This asshole has no respect for women. Its her life she can do whatever she wants! 😡 Feel like punching him! 👊🏼
Miss Perfect| Sunny i love u
Rohan Burman| That's how you handle yourself, what a legend she is.
uncle demon| People get a fucking grip, she is an American woman with an Indian heritage who sells her body for money while millions of people wank while watching her take a dick(could be More) in her ass. .so hardly a entertainer. She is aware of her impact on the Indian society but does she give a fuck, No PS all you ass holes who are attracted to her and her  American accent if you want to know the truth about porn stars then watch some documentaries it will open your eyes. I would bleach that hand if I was the him.. Demon out
Apoorv Singh| Sunny we adore you so much and we respect you more than any other actress :) fuck these dickheads :)
Apoorv Singh| He’s worse than the piece of shit!
Marwa Sa ' ie| No matter how actresses she is but she is kind and sweet
Zehra Farah| Shame on the people who are supporting sunny leoni shame on you .... Actually u people don't know wat u r doing ..ju galat hai Wu hai agar iss trah se kahengi k I would do the same stuff I I would me taken back of my tym..wat msg she is giving to our generation? Can anyone answer dat?or ek baat bole devil always comes in a beautiful appearance to lead people astary
Vinu Natraj| Strong and independent woman.... ❤️ I love the way how she maintained her coolness ❤️
Karanam Srinivas| I am human being and woman...grt
sang chang| Somebody please smash this man...😡
Range R| Sunny Leone is the bravest woman. If India is a herd of sheeps, she is roaming like a lion in that country. The sheeps finding the ways to hide themselves away from the lion. She has virtually exposed Indians who claim that they are the the worlds' virtuest people by being on the top list of watching porn.
Vishnu Kumar| The man who asked the questions to sunny Leone tried to insult her, but sunny Leone replied in a cool way. Love you sunny Leone.
kruttika sule| I don't really know when would Indians start respecting other's choices and views. I have read a few comments below criticizing sunny leone for her chosen paths to get into Bollywood. Whatsoever, it is her own choice and we are no one to meddle with choices and preferences. Also, what she does should not be anyone's problem unless she personally harms anyone. I guess she is one of the most positive women of India, and is happy with her own being. Also, I am glad to see many males here who respect her or have started doing so off-lately after viewing her interview. Sunny has inspired so many who witnessed this interview on how to stay calm even when confronted with sexist questions coming from decayed mindsets. It's not about what a person chooses as his career path, it's about the kind of heart a person wears inside his body. And I guess, She must be in Bollywood not because of her body, but because of the attitude she wears. @Sunny, Love you for the person you are!
Menuka Gautam| omg this guy what a jerk he is
Ishya Shah| I want to fucking punch this asshole in his face. His past must have been molesting little girls. Stop being so suggestive asshole! This man is exactly the kind of man that rapes girls and then say it is their fault.
Karunakaran Akhil Dev| what does that guy wanted to ask and prove, shit of nonsense by the interviewer.. hats off to sunnyleone
SOORAJ MURALIDHARAN| Dei, what are u trying to do man. Interview her or dig up with her past..Very bad interview. Its such great thing that she remained calm and composed with this idiot.. Im ur fan and have got respect for u maam..
One Republic| This man should burn in hell
Pranav Jain| The interviewer is being such an asshole! Hats off the Sunny for responding gracefully to his cheap comments.
uzair sidiqqui| Mandir dhaday masjid dhaday , dhaday Jo kuch dhenda .. per kisi ka Dil na dhaween Rub dilawan vich rehnda..
Deepak Mohanty| Seems like this host as well as the news both gone crazy
King jr| Does this old man know there is not only one pornstar  in this world 🌍
King jr| This horny old man ask such an stupid question I wonder if he talks to his mum or sister like that he got no respect for women She is answering all those stupid questions so chill
Hrithik Nigam| The filth in the mind of interviewer is clearly visible through his eyes after the break
SAPHIRA| I admire her honest and polite way of communication
Aayushmaan Ghosh| Worst interviewer
viral chheda| Interviewer was Darinda....... let god do justice to him
saimira menon| The best befitting reply to this bald guy was when Sunny did an item number with SRK ..................and I bet this interviewer has watched all her videos secretly .......
afreen raga| This man is utterly disgusting.
shubham goyal| Love you sunny. You are such a nice person 💪❤️
J L| what a horrible man. how can u be so rude. she's a human. be nice 2 her
Ridhi Bhardwaj| Sunny was amazing :)This guy is a shame and should be questioned as to how he became a journalist with that sort of a stupid mindset
Nazmul Noyim| This guy has to be the most stupidest interviewer
Deepak Kumar| kon chutiya h yeh
Harshit Srivastav| She should have stood up and slapped the guy so hard.....
Anisha Banerjee| Sunny u r and u will always remain a real hero in my life.I think this ineterviwer is a man who don't know how to behave with girls and he can't never achieve the position and respect that sunny have.sunny u know how to deal with every kind of situation for that hats up and love u ...
Vinay Mamulla| He has indirectly abused sunny many times, I think his daughter or wife should have been in sunny leone's place while answering this questions, only time he realises what wrong he has done, I wonder how this man became a journalist
Mak Rony| Bhupendra, you wanted to undress her! instead you brought the ugliness of your mind in front of everyone!
rachanjk123| this was the worst interview i have ever seen....such a jerk
Tasnim Ferdous| The way she handles this moron and his regressive opinions about her, tells how fast and mature her thinking is. Respects from Bangladesh. Love her a lot.....
HARRSH| IDIOT!
Priya Shinde| dear bhupendra chaubey I n my husband both watch sunny Leone's porn videos n v love it... it Dnt think she is a threat at all for Indian wives infact she is an inspiration that if u be like sunny Leone in ur room ur husband will never go far from u... u will Hv a happy married life... v love her n respect her she is a wonderful women 😘😘😘
Class Apart| Lot of patience n grace!!
Tejeswar Samal| Choubey sir if ur sis is having a boyfriend n i saw her going with that boy that doesn't mean I'll aska her how was d experience when u take it for d first time.. U don't have any right to talk to them like that.. U are forcing her to admit that porn is a wrong thing n she have to admit that she is guilty...
anjal Roshan| Respect, thank you for this interview, because of this I strongly believe she is good woman
Zahid mohamed| A very regressive interview
Sammani Sarkar| "PAST!"guess he caught his son jerking off to sunny leone just before coming for this interview
aditi anupam| Feel like slapping  the shit out of this shameless inhumane  bastard
asesh mandal| Today my love for her increased...!!😍😍😍😍😍
Manav Shetty| This guy is a cunt
Siddhartha Gupta| Bhupendra Chaubey is an Idiot!!! CNN News 18 are idiots too for giving him a job!!!
Remy Basi| The interviewer is a complete fucktard. I am embarrassed that he is an Indian.
parinitha| Anchor is very irritating . Sunny is calm and gracefully handled his annoying interview. She is very smart woman.
Rajib Barik| after watching this interview i really feel that sunny leone ...wow she is really a fantastic woman..hats off to her...she handled all the disgusting question of that  b***h interviewer so positively , Really sunny you won my heart or it will be more better if i would say my respect
Ruchita singh| She is unbelievable... How can be someone so graceful... Its motivation
suraj dongre| She is way mature than the interviewer...................
Ak Go| She used the porn industry to get to mainstream Bollywood
Ak Go| She used porn to get into Bollywood. Wow.
Ak Go| I think the path to becoming a celebrity is wrong. Disgusting in fact. Self centred women who wanted fame so much that she became a pornstar.... and now she somehow a Bollywood actress
PRMDP| BhenchoBhup Saala. He is disgusting.
Aditya kaushik| Jo bhi bolo Sunny Leone ne sambhala bht ache se hain interview or bht cool hoke answer die.appreciation of that.
KaivitiSingh| Message to take HOME:   This Sunny Leone is the only person has the MOST attractive and beautiful legs . There is NO other girl of the millions our India has (including all the Bollywood girls) having these qualifications, they all have “Bamboo Legs”. You know what: if any Bollywood actress wants to possess these qualities they should first become a porn-star…maybe this is the only formula.  Every young energetic male person in India is attracted to Sunny Leone in some way or another.
Aleem XYO| Sunny Leone is a Fucking Skank. Shes going to hell anyways. She's a high class Hoe who got famous from doing Porn, nothing more.
Sohi Mistry| This interviewer is a horrible human being. Shame on India.
rohan kucheriya| That moment when she said, "I may leave if you want", 17.45, Love her!
Daivik Bijoy| This guy is an absolute jackass
Fernando 9Torres| Well done bhupendra choubey
all about fun and games| Fuck this interviewer.SUNY started to cry.😢😢😢😢😢
V-Fun World| Asshole interviewer... Before judging others judge yourself.
Nosipho Nxumalo| such disrespect. this was not a healthy or respectful interview.you were just attacking and demeaning the poor girl wanting to make her feel terrible for her past or her way of living which is not fear.very disgusted
Harsh Mehrotra| You suck at taking interviews bro , leave the job ! We don’t need people like you for Indian modern media
Pronami Dutta| U did good Sunny... Proud of you. May be people like him are the reason of india's moral destruction
Pavithra Nagaraj| Karanjit or sunny, name means nothing... but the character does. So is the name bhupendra doesn't make u king of earth so have some decency coz she is person n everyone deserves to b respected. A great respect n applause to the woman with grace n dignity
Savage Surfer| man this interviewer is so one dimensional... an adult artist may have more to her personality than just porn.. and for goddamn sake stop referring to yourself as the representative of the country or fuckall viewers... the country has more to it than your own individual suckin' views...
Hrishita Saha| I hate this man!!!
Hiranjyoti Mahanta| Grow up Mr. Chaubey. Sunny literally stripped you naked buddy. Grow up... all media for that matter.
Saumya Doodoo| All those here who disrespected Sunny Leone in the comments... She's a woman...who didn't regret what she did in her past... That's the most courageous thing to accept!!! She's sitting their talking about her past and profession like a woman should...!!!Yes she showed her body... And yes you all watched it open mouthed dick hanging jerks..!!!Accept it like she did!!!!
deadly vivid| Shameful man... this man is just asking shit to sunny leone .....shame of you man......shameless creatures....respect you sunny leone we support you mam...
Siril Kindle| My respect for Sunny Leone...
Siril Kindle| Indians = biggest hypocrites in the world... Behind the curtains would happily watch porn and in open will behave like some nonsense sanskari shit
Rakesh Rajamurthy| She could have slapped him and walked out of this interview.. But she didn’t do that, that shows her character
Ayushi Bhagat| Who can like this video? Why 4K likes?
Binandash Moirangthem| Wtf man,tht non of your business to ask all kind of questions like tht
yugaantar jain| Sunny handled it perfectly I wouldn’t have been able to stop myself from kicking this assholes ass
Guneet Kaur| 8:33 is the moment when I stopped hating this woman and started respecting her.By the way, is it me or do you guys see that evil smirk this jholachhap has when he asks her a question?? His nostrils flare when she gives a better response to his stupid questions.This douche is a blot on the journalists and that's a compliment to India's journalists.And thanks to Bhupinder we came to know her intelligence. So at least the douche did something good.
Shrikant Verma| Big respect for sunny
Deep Sankalp| Bhupendra Chaubey is a piece of shit!
Selena SweetSixteen| this guy is a little bitch
rik...;)| Who the bloody cheap man is he... Disgrace pathetic man to be a journalist 😠😠😠😠😠😠😠
Gayatri Kumar| He should be ashamed of himself
Steven James| What ever people think fuck off .lve u sunny😂😂😂
SMOKEY428| She is an awesome chill person
Zamin Khan| This bald man is really rude and offensive
zacefronlove1010 swift| great interviewer
Axel Will| How the fuck did dis guy become a journalist..sm1 shld kill that mofo sun of a bitch !!
Axel Will| Back whn I wz n school a guy disagreed wit me on the context tht Sunny isnt az beautiful az I claimed her 2 B which let n2 a heated agruement between us followd by me fisting him several times n getting expended for 3 days..like i gave a fcuk..n how the fcuk is tht guy a journalist..smbody should shoot that mofo..Big Up !!
Sanil Dewan| I want to punch the damn out of this mentally disgusted so called journalist.
Jomon George| A big thumbs up to Sunny, you are simply wonderful, and on the contrary the interviewer is just very below average. One thing he did is worth, that is, he brought out the best in sunny.
Pardeep Toor| "You're DAMN right I am!"
pawan keswani| That asshole already knows porn consumption has only increased because of higher internet penetration. #kuttekapilla
gaming passion| Really I would wish that his daughter have to face this kind of interviews then he would have realised how badly I have hurted the beautiful star but by the way love you @sunny Leone always shine
Amber Kumar| She's such a grace. He sucks.
Zainab Bangash| I feel for her poor she but i am happy she is strong the journalist is a real loser shame on you giving her pain bloody idiot sunny you are so much cute humble and i like you nd you idiot at 8:26 she also laugh at you when ask her the stupid question you should have noticed
Akshi Jain| Somebody please slap a tape on this guy’s mouth. Who made this guy sit in that chair and talk to Sunny like that.
Kapil Negi| bloody hippocrate how can anybody speak to a woman like that
Siddharth Pawar| This asshole has no respect for women! 😒1 = 1000 slaps
Khatera Helya Joya| Sunny Leone u r the best
Raghu Pulivarthi| Bhupendra Chaubey ass hole.. all you know he must be the first guy to watch her and jerk off
Ga Ga| I wonder if his wife is dead or alive...,if he has any!
prateek mathur| Interviewer or a molester.!!he should be ashamed of himself..Respect for sunny leone generosity.. This interview reflected how positively she takes her life...u deserve respect..
harryshaz100| OMG I am sure that bald guys jerks of every night thinking about her! He is such a hypocrite! Love you Sunny!
Sam daniel| andCNN IBN still continuous  to stick to him.disgrace....
TARA GREEN| gaanja chup kar.🤐
TARA GREEN| Sunny is so beautiful 😍. This interviewer have no respect.
ihsaan husain| Worst questions
ihsaan husain| People won't let her come out of her past
Ramandeep Virk| Perfect, you go girl! Utterly professional
Sudipa Pahari| What a lady! ....how confident she is ! Respect her.
Awnish Thukral| I love Sunny. You are a good person. And that's what should matter at all.
Krishna Chaithanya| Madarchod interviewer
Swati Dhiman| Mister bhupendra I think you have to look back to your interview and conclude who is more powerful it's you or her and if you can't conclude that letl me tell you the truth is she is just amazing actress she is beautiful and respectful too if your words can't give respect to a women then it's you who have to be shameful not she .She is just loved by the people because of her work and beauty..get this straight in you head sir and her personal life is her choice and we have to respect that ...Journalist ho to kuch bhi bologe kya Yaar ..
Himanshu trigotra| Worst interview ever seen love you sunny we respect you
Himanshu trigotra| I love sunny i respect her
Priyanka Jha| I guess he is only googling her more and his wife is the one who complains. Bloody shitty fellow
M M| haha the ugly blad dude is the definition of a bitch niga....this dude for sure has a small dick and no balls...which is why he is acting the way he is
abhishek kumar Mishra| Shame on interviewer.
Burrito Boys| That fool bald ass
Tialemba Ao| who is this dick head interviewer...bloody asshole
dadapande ratnagiri| the porn thing is out of context.  a lot more people have access to the internet and to cellphones, india has the largest population of internet users (china does not have free internet) so of course we have the largest amount of porn consumers.
Venkat Rajvardhan Reddy Konda| She handled the interview way more diplomatically even when the interviewer is asking hypothetical questions
Venkat Rajvardhan Reddy Konda| Nothing matters let her lead the life the way she wants she is very pretty and good at heart.
SUSAN RANJI| That is why I hate India. It's not about feminism. I wanted to be a entertainer an escort when I was a kid. What is wrong being a porn star or a prostitute or whatever ALL IS JOB. Please I feel so bad for her.
SUSAN RANJI| Such an asshole!
Vaane Vaane| She handled that very well. Beautiful, graceful and intelligent. I hope they give her the chance with a 'real' movie. Not these over the top sexy films. She's got it and people will be surprised to see what she can do. On another note I hate interviewers that talk, ask a question and then randomly cut the interviewee off. You want a answer or you just looking to piss people off. A real interviewer ask hard questions and get a reply and then riff off that answer. They don't cut people off and then repeat questions. How many times she have to say she doesn't care what people think. How is the raised percentage of porno in India got to do with her? Maybe that's because porno is now free and accessible. All you need is a phone.
shiva0251| This guy is idiot .
Atreya Sharma| Lots of respect to you sunny Leone. This bald headed dumb bastard deserves a slap. First video I ever disliked on YouTube.
Suman  Devi| Well yes i'm glad MY Idol TAYLOR SWIFT doesn't reside in India where such interviews are allowed to happen by such trusted news channels
Suman  Devi| CAN WE  TAKE A MOMENT ASIDE ? JUST TO APPRECIATE THIS SUPER STRONG SUPER BEAUTIFUL LADY? I LOVE YOU SUNNY LEONE ! AND I AM PROUD OF YOU FOR SAYING EVERY BIT YOU DID ....
Jairaj Routh| Bhayi bhupendra tu CHUTIYA hai ?? ek hi sawal BC bar bar puche jaraha hai.. "How would you deal with it?, How would you deal with it?, saare questions ko jese bhi "PORNOGRAPHY" se relate kar raha tha tu ye pure interview me.Tu jaanna kiya chahta tha ? BC tu statistics ki baat kar raha hai..saale ek bhi statistics humne tere is video me nahi dekha kis STATISTICS ki baat kar raha tha tu aur ye STATISTICS aya kaha se... apne zabaan se kuch bhi kahe ga aur woh statistics ban gaya... Man such a bull shit interview. I was suggested by one of my friend to see your interviews, you do awesome work there. This was the first time i saw your interview, aur tauba bhayi kabhi aur na dekhu tere bhakchodi ko kabhi..
Kartik Gautam| Pata nahi iske viewers kon hai jo isko ye sawal puchne ko bolta hai..... Ya ye khud hi puch raha hai....  Sala chutiya
Kartik Gautam| I have the respect for sunny leone more than any actress
Kartik Gautam| This proves that bhupendra dont respect her mother....
Sreejith SL| I should slap this reporter asshole.
Arkaprabha Bhattacharjee| respect for this woman for facing such questions instead of kicking the journalist right in his dick
Anil singh| She is smart
v v| Really, what has got into you my Indian fellow mates, really you wanna praise her, a girl who chose the easy way to make money and not be a women who could have worked hard and made money. Her countrymen don't accept her at all either and in India you fucktards are supporting her? This type of shit will actually change mind sets of young Indian girls and let them assume that it's OK to be a slut! The interviewer is doing his job, his questions were made by their channel not him, don't need to abuse him either.Ask her country men how they hate this bitch and only wanna give her in her mouth.Behenchod Bhartiye janta such me chutiya hai.This just another common slut and nothing else.P. S- ABUSE ME AND IT WILL GO ON YOUR FAMILY!
Atharva Pawar| He needs a slap on face and his dirty scalp !!!!!
Atharva Pawar| He needs a slap on face and his dirty scalp !!!!!
Atharva Pawar| He needs a slap on face and his dirty scalp !!!!!
Bitters Bita| I don't like that bald man's face. He's ugly af same goes with his brain too. Fucking kill urself
yogesh pawar| Who made this person interviewer? He is so rude. He was so offensive to her. If you have problem with her past then don’t invite her for an interview.
Pipe Down| Big salute for you mam...u said it welll
Akash Saxena| Sexist pig
Himanshu Ojha| Loved the way she dealt with this insensitive person..
Vid B| asshole guy. He might have watched all her porn clips thats why this flag bearer of morality is so uncomfortable. Idiot.
Sasha| I have never understood these types of interviewers who feel the need to one) interrupt over their interviewee and two) trying to instigate a very obvious response. I just cannot grasp this level of blatant disrespect and exploitation that happens in the media. It's terrible. CNN-IBN please learn from interviews like this the next time you get a big star or anyone who has accepted to be interviewed. You can visibly see and hear Sunny getting more and more impatient with each hurl of a backhanded question. And despite this interviewers efforts to put her down and exploit her, she stayed composed, articulate and positive with every answer. Just... don't do this again, re-evaluate yourselves. It's not a good look.
John Fernandes| he is the most underrated a** H**e i have ever seen !! and i mean it !!whatever she has done is past !  she courageously came out of it and is now living a good normal life. she is a true  beauty with lots of courage. who can answer s graciously and calmly to this A** H**e .you need to get some life bhupendra, and more over consult a psychiatrist so that these depictible thoughts are not in your brain. if you are on drugs then have a visit to rehabilitation centers , also for over alcoholic the same place to visit.  the only thing you can say is that you were not in your senses when the questions were asked, ...
Rowshon Ara| motherfucker man
vineeth vishnu| Interviewer is a heartless person.... Sunny deserves respect
nikhil kumar| interview or interrogation..? the hecks wrong wit dis guy..?
Divyashree Dhanarajan| What kind of stupid questions are these. I sympathize his narrow state of mind. It's her life that she chose to live as whoever she wanted to be. If he's going to accuse someone like that,  then everyone In the industry owes an interview too. There's a way of asking questions. He has no respect for women and their rights to live their lives. I respect Sunny for her educated way of dealing with some brat who's probably a dad or a husband of a woman with the exact same traits that he calls disgusting
ItsmyLIFE| How can she be so sweet and strong to answer all these rubbish questions??? I admire you sunny
ItsmyLIFE| Calm down mister. Why are you so desparate asking multiple questions
ItsmyLIFE| More power to Sunny Leone
Soul Woman| This guy needs a tight slap. 🙄
Sid Bakshi| She might have made money through porn and using her body. But this bald bastard Chaubey sells his soul everyday.
Knight Gaming| Good interview truth
Helping Hand| i hv a big black dick and i like this bald guy
Satarupa Ganguly| She is beautiful inside and out.
Shivangi Anita Singh| Oh my God! 12k dislikes... Y man? First of all you were d one who was curious about this video n u disliked it bcz it was her. Well again ur choice... Anyways, she is really a sensible person, a good human being, sensitive and she didn't really get angry... This is really a good thing in her... I literally like her...well done sisso! Good luck...P.S. I too disliked d video bcz its his channel. N he is actually a moron... Who wants to mane her feel bad about herself n her body. He is actually d husband of d married woman he is talking about.... Koi mjhe bhi milaao bhai un aurton se jo karanjeet urf sunny leone ko apne husbands k liye threaf smjhti h.. bc phle apne hubby ko roklo porn dekhne se... It is ur husband who is interested in watching her not d vice versa...
Aman chaudhary| RESPECT  for Sunny
Aman chaudhary| Eh gaanje di maa da fudda
Barna Das| Lmao! It wasn't even an interview,  it was to insult her dignity. She proved her vigorous & optimistic personality.
Amish Mannava| God knows how he treats his wife.
jis sabu| 14:47 savage sunny
Pari  Deol| Sunny kudos to u girl 👍🏻👍🏻👍🏻👍🏻👍🏻 huge huge respect ....... you are gem of a person and nobody can deny this fact ..... And whereas this asshole is concerned..... dude u just said that u might be getting corrupt coz u sitting and having intrvw with her ..... trust me .. it’s other way around ..... sunny got corrupted by listening a jerk like u ... n talking to a bustard like u ..... worst intrvw ever ..... Sunny just to let u know .... nobody thinks so negative about u .... you are a pretty woman and a graceful person indeed ....
Jibin| I used Sunny's responses in my actual job  interviews!!
14581 AKSHET| Yeh Bhupendra Chaubey mil Jaaye madarchok ko marunga....Sunny ki personal life ke bare me Tujhe kya Bhosdike
1425 007| She has iron heart... Awesome
Jobeth Thomas| This  man deserves a big tight slap
It's Ritu| The interviewer is a bitch. People like you, corrupt and our country not like sunny leone. We need more positive and open people like sunny than sexists like you bitch.
Vimal Haridas| Hats off to Sunny. No like or dislike for the video
atharva dasgude| Bhupendra chobey #### off
akshitaah. s| I wish I could afford the money to send this man for his mental illness
No Y| I can clearly see tears in her eyes ,but she didn't allow then to came out , u are such a brave girl sunny ,how u reply his harsh and nasty question with cool mind and smile on ur face  it was marvellous . I was a big fan ur attitude and humbleness before but this interview makes me fall in love for u . Lots of respect for u .
Xtacy| Let the fucking woman talk you dickwad bet all his fucking knowledge evaporated out of his bald fucking head
HealthGuru Tamil TV| Being morally correct is to treat a fellow human being with respect. The interviewer  is an asshole of 3rd rate. Respect for sunny Leone
Prakash Thakur| This man is taking India back to 70's where women are meant to be dominated.
jagandeep sandhu| Bloody asshole interviewer 😡😡🤬🤬
diableraen| Hes such a jerk :|
Amit Katiyar| I appreciate sunny for this interview we all have a past we all make misstake so way we remind anyone for his misstakes
All Channel| Fucking asshol takla he don't have any sense how to talk with girl
SIDDHARTH DEORA| i personally don't support porn business everywhere it should be but not in the knowledge of living youth under the age of 18.... and sunny u r really so cool and great to handle such a chutiya ..... i respect u dear..... god bless u .....
sunita Yadav| Love you sunny muah.
Ishmeet Kaur| Sunny managed this rude and condescending interviewer very well. She is one of the most professional and grounded businesswomen I have seen til date.  You can clearly tell that he is deliberately trying to get under her skin and wants a reaction from her but positivey exceeds all negativity! Love you Sunny, keep shining bright! <3 Good luck to you! Always a supporter!
Ammu Linz| Love u sunny...so calm n composed..a  perfect example of a strong woman u really made an impression on me..god bless
Abhay Kumar| Dt interviewer z really a vry big *madarchod* ....
damini singh| Awesome...the way she handled the interview....he was trying to disgrace her but actually it went the other way round
gur deep| i feel sorry that this man is a indian.This interview revealed how positive thoughts she has about her.. She is really beauty with brain.. And she already worked with Shahrukh khan.. And one day she will also work with Aamir khan.This interviewer showed that Indian media is worst media in this world
Mayuri Chaudhari| This guy is a moron. It is sad that she has to tolerate this shit. Asshole !😡 leave her alone
Mayuri Chaudhari| This guy is a moron and sadly he is an indian, shame that she has to tolerate this shit
Samruddhi shimpi| This guy was so rude Nd stupid
missy6361| I bet Mr Chaubey has wanked his dick off to Sunny Leone. Fucking ridiculous.
Doctor's Vines| She really is super cool about a big list of awkward questions..Hats off sunny..
Priyanshi Negi| He is a sexist pig. How did she not walk out on him?!And married women blaming Sunny for their husband's sexual interests. Now that's an epic example of stupidity.I have never hated any interviewer more than this bald guy.
Deev JJ| What a jerk ass interviewer!!!I can't they ask these questions on prime time tv.This is what is wrong with India...
Abhieram ascii| Scums like this guy ridicule sex workers n porn stars in broad daylight, and shag off their frustrated dicks at night watching porn
Dollie Elizabeth James| This man should be fired ! What a douche ! I just hope that I don't see interviews of him anymore ! Sunny i love you, You are absolutely gorgeous !
Sethu Raman| Asshole interviewer
Ghazal Kamal| This is our Canadian export to India and I love her and beautiful actress and why the hell we are hung on past. She  is great and  talk about present, As a fellow Canadian I am proud of her achievements as Indians have double standards. Best wishes to our sweetheart.
Ashutosh Singh| That bastard crossed all his limits. Infact the way sunny handled questions which showed his mindset , i would say at the end of the interview sunny is classy and elegant whereas that dirt bag appears to be brought up in sewage
Vidhi Jangra| What a douche, hats off to Sunny Leone !🙌
